config,metric,group1,group2,p,sig
four_peak (d=14),finalPopulation,Altruistic,Egoistic,1.0,ns
four_peak (d=14),finalPopulation,Altruistic,Utilitarian,0.0,***
four_peak (d=14),finalPopulation,Egoistic,Utilitarian,0.0,***
four_peak (d=14),finalMeanWealth,Altruistic,Egoistic,0.1756,ns
four_peak (d=14),finalMeanWealth,Altruistic,Utilitarian,0.1534,ns
four_peak (d=14),finalMeanWealth,Egoistic,Utilitarian,0.0004,***
d=7 (intermediate),finalPopulation,Altruistic,Egoistic,1.0,ns
d=7 (intermediate),finalPopulation,Altruistic,Utilitarian,0.0,***
d=7 (intermediate),finalPopulation,Egoistic,Utilitarian,0.0,***
d=7 (intermediate),finalSocietalWealth,Altruistic,Egoistic,1.0,ns
d=7 (intermediate),finalSocietalWealth,Altruistic,Utilitarian,0.0117,*
d=7 (intermediate),finalSocietalWealth,Egoistic,Utilitarian,0.0021,**
d=7 (intermediate),finalGini,Altruistic,Egoistic,1.0,ns
d=7 (intermediate),finalGini,Altruistic,Utilitarian,0.0,***
d=7 (intermediate),finalGini,Egoistic,Utilitarian,0.0,***
d=7 (intermediate),finalMeanTimeToLive,Altruistic,Egoistic,1.0,ns
d=7 (intermediate),finalMeanTimeToLive,Altruistic,Utilitarian,0.0073,**
d=7 (intermediate),finalMeanTimeToLive,Egoistic,Utilitarian,0.1146,ns
d=7 (intermediate),finalMeanWealth,Altruistic,Egoistic,1.0,ns
d=7 (intermediate),finalMeanWealth,Altruistic,Utilitarian,0.0,***
d=7 (intermediate),finalMeanWealth,Egoistic,Utilitarian,0.0,***
one_peak (d=0),finalPopulation,Altruistic,Egoistic,0.3894,ns
one_peak (d=0),finalPopulation,Altruistic,Utilitarian,0.0,***
one_peak (d=0),finalPopulation,Egoistic,Utilitarian,0.0,***
one_peak (d=0),finalSocietalWealth,Altruistic,Egoistic,1.0,ns
one_peak (d=0),finalSocietalWealth,Altruistic,Utilitarian,0.0,***
one_peak (d=0),finalSocietalWealth,Egoistic,Utilitarian,0.0,***
one_peak (d=0),finalGini,Altruistic,Egoistic,0.5036,ns
one_peak (d=0),finalGini,Altruistic,Utilitarian,0.0,***
one_peak (d=0),finalGini,Egoistic,Utilitarian,0.0,***
